Omschrijvi,Naam,source,OBJECTID,UVID,BOUWWERKCO,AFSTOOTSTA,Shape_Leng,Shape_Area,EAN,Gebouwcode hoofdaansluiting,Gekoppelde aansluiting,Entity,Portefeuille,Naam Defensie,Bouwwerkfunctie,Adres,Postcode,Plaats,Contractcapaciteit,Aangevraagde Contractcapaciteit,Toekomstige contractcapaciteit,Maximaal piekvermogen,Verhoogde basislast,Vermogen laadpunten,WP vermogen,Max vermogen verbruik,Max ruimte verbruik,Oordeel verbruik,WP Zonnepanelen,Max ruimte opwek,Oordeel opwek,Projectnaam,Volgorde,Status_project,type_project_,Potentie,Planning,URL_projectpagina,RES_Regio,scope_omschrijving,Type_project_icon,Shape__Area,Shape__Length,buffer_5km,cluster_id,geometry_wkt,geometry_centroid_wkt
Voorkeursalternatief uitbreiding depot Poortugaal,VKA depot Poortugaal,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((92745.0207699898 429835.9639182529, 92720.94440335079 429345.8782166051, 92648.94717200595 428860.51230817224, 92529.72244865085 428384.5405319806, 92364.41843254624 427922.54675642744, 92154.62709173157 427478.9802341229, 91902.36883150254 427058.1127531549, 91610.07303680349 426663.99749743467, 91280.55467592254 426300.43001232017, 90916.98719080802 425970.9116514392, 90522.87193508781 425678.61585674016, 90102.00445411979 425426.35759651114, 89658.43793181525 425216.56625569647, 89196.4441562621 425051.26223959186, 88720.47238007044 424932.0375162368, 88235.1064716376 424860.0402848919, 87745.0207699898 424835.9639182529, 87254.935068342 424860.0402848919, 86769.56915990917 424932.0375162368, 86293.5973837175 425051.26223959186, 85831.60360816435 425216.56625569647, 85388.03708585982 425426.35759651114, 84967.1696048918 425678.61585674016, 84573.05434917158 425970.9116514392, 84209.48686405706 426300.43001232017, 83879.96850317612 426663.99749743467, 83587.67270847707 427058.1127531549, 83335.41444824803 427478.9802341229, 83125.62310743336 427922.54675642744, 82960.31909132875 428384.5405319806, 82841.09436797365 428860.51230817224, 82769.09713662881 429345.8782166051, 82745.0207699898 429835.9639182529, 82769.09713662881 430326.0496199007, 82841.09436797365 430811.4155283336, 82960.31909132875 431287.38730452524, 83125.62310743336 431749.38108007837, 83335.41444824803 432192.9476023829, 83587.67270847707 432613.8150833509, 83879.96850317612 433007.93033907114, 84209.48686405706 433371.49782418564, 84573.05434917157 433701.0161850666, 84967.1696048918 433993.31197976565, 85388.03708585982 434245.5702399947, 85831.60360816435 434455.36158080935, 86293.5973837175 434620.66559691395, 86769.56915990915 434739.89032026904, 87254.935068342 434811.8875516139, 87745.0207699898 434835.9639182529, 88235.1064716376 434811.8875516139, 88720.47238007044 434739.89032026904, 89196.4441562621 434620.66559691395, 89658.43793181525 434455.36158080935, 90102.00445411979 434245.5702399947, 90522.87193508781 433993.31197976565, 90916.98719080802 433701.0161850666, 91280.55467592254 433371.49782418564, 91610.07303680349 433007.93033907114, 91902.36883150254 432613.8150833509, 92154.62709173157 432192.9476023829, 92364.41843254624 431749.38108007837, 92529.72244865085 431287.38730452524, 92648.94717200595 430811.4155283336, 92720.94440335079 430326.0496199007, 92745.0207699898 429835.9639182529))",5,POINT (87745.0207699898 429835.9639182529),POINT (87745.0207699898 429835.9639182529)
,,Bouwwerk,42.0,19P-V9D-Z2GB-7BP,3194K100_01,nietinafstoting,703.466703398,5000.27169903,EAN_871689276000002864,100152G01,100152G01;100152G02;100152G03;100152G04;100152G05;100152G06;100152G07,Dienst Justitiële Inrichtingen Elektriciteit,DJI,onbekend,Cellengebouw,"Koddeweg, 100",3194DH,Hoogvliet Rotterdam,245.0,0.0,245.0,181.0,208.0,18.0,462.0,688.0,-443.0,Rood,0.0,245.0,Onbekend,,,,,,,,,,,,,,5,POINT (85652.14664142864 431139.4438593425),POINT (85652.14664142864 431139.4438593425)
,,Bouwwerk,76.0,VQ7-DEY-7EYR-85H,3089R31_01,nietinafstoting,60.4780271506,220.304088991,EAN_871689260011461598,100824G01,100824G01;100824G02;100824G03,Belastingdienst,Rijkskantoren,onbekend,Kantoorgebouw,"Reeweg, 31",3089KM,Rotterdam,151.0,0.0,151.0,77.0,77.0,9.0,29.0,115.0,36.0,Groen,135.0,16.0,Oranje,,,,,,,,,,,,,,5,POINT (89120.1717041 432545.95338215656),POINT (89120.1717041 432545.95338215656)
Voorkeursalternatief uitbreiding secundaire baan,B,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((185934.76059738096 582487.4441104413, 185910.68423074193 581997.3584087935, 185838.68699939712 581511.9925003606, 185719.462276042 581036.020724169, 185554.1582599374 580574.0269486158, 185344.36691912272 580130.4604263112, 185092.10865889367 579709.5929453432, 184799.81286419465 579315.477689623, 184470.2945033137 578951.9102045086, 184106.7270181992 578622.3918436276, 183712.61176247898 578330.0960489286, 183291.74428151094 578077.8377886994, 182848.17775920642 577868.0464478849, 182386.18398365326 577702.7424317802, 181910.2122074616 577583.5177084251, 181424.84629902875 577511.5204770803, 180934.76059738096 577487.4441104413, 180444.67489573316 577511.5204770803, 179959.30898730032 577583.5177084251, 179483.33721110865 577702.7424317802, 179021.3434355555 577868.0464478849, 178577.77691325097 578077.8377886994, 178156.90943228293 578330.0960489286, 177762.79417656272 578622.3918436276, 177399.22669144822 578951.9102045086, 177069.70833056726 579315.477689623, 176777.41253586824 579709.5929453432, 176525.1542756392 580130.4604263112, 176315.36293482452 580574.0269486158, 176150.0589187199 581036.020724169, 176030.8341953648 581511.9925003606, 175958.83696401998 581997.3584087935, 175934.76059738096 582487.4441104413, 175958.83696401998 582977.529812089, 176030.8341953648 583462.8957205219, 176150.0589187199 583938.8674967135, 176315.36293482452 584400.8612722667, 176525.1542756392 584844.4277945713, 176777.41253586824 585265.2952755393, 177069.70833056726 585659.4105312595, 177399.22669144822 586022.9780163739, 177762.79417656272 586352.496377255, 178156.90943228293 586644.792171954, 178577.77691325097 586897.0504321831, 179021.3434355555 587106.8417729976, 179483.33721110865 587272.1457891023, 179959.30898730032 587391.3705124574, 180444.67489573316 587463.3677438023, 180934.76059738096 587487.4441104413, 181424.84629902875 587463.3677438023, 181910.2122074616 587391.3705124574, 182386.18398365326 587272.1457891023, 182848.17775920642 587106.8417729976, 183291.74428151094 586897.0504321831, 183712.61176247898 586644.792171954, 184106.7270181992 586352.496377255, 184470.2945033137 586022.978016374, 184799.81286419462 585659.4105312595, 185092.10865889367 585265.2952755393, 185344.36691912272 584844.4277945713, 185554.1582599374 584400.8612722667, 185719.462276042 583938.8674967135, 185838.68699939712 583462.8957205219, 185910.68423074193 582977.529812089, 185934.76059738096 582487.4441104413))",10,POINT (180934.76059738096 582487.4441104413),POINT (180934.76059738096 582487.4441104413)
Voorkeursalternatief uitbreiding secundaire baan,A,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((183130.6981310817 582507.1753808616, 183106.62176444268 582017.0896792138, 183034.62453309787 581531.723770781, 182915.39980974275 581055.7519945893, 182750.09579363815 580593.7582190362, 182540.30445282348 580150.1916967316, 182288.04619259443 579729.3242157636, 181995.7503978954 579335.2089600434, 181666.23203701444 578971.6414749289, 181302.66455189994 578642.1231140479, 180908.54929617973 578349.8273193489, 180487.6818152117 578097.5690591198, 180044.11529290717 577887.7777183052, 179582.121517354 577722.4737022006, 179106.14974116234 577603.2489788454, 178620.7838327295 577531.2517475006, 178130.6981310817 577507.1753808616, 177640.6124294339 577531.2517475006, 177155.24652100107 577603.2489788454, 176679.2747448094 577722.4737022006, 176217.28096925624 577887.7777183052, 175773.71444695172 578097.5690591198, 175352.84696598368 578349.8273193489, 174958.73171026347 578642.1231140479, 174595.16422514897 578971.6414749289, 174265.645864268 579335.2089600434, 173973.350069569 579729.3242157636, 173721.09180933994 580150.1916967316, 173511.30046852527 580593.7582190362, 173345.99645242066 581055.7519945893, 173226.77172906554 581531.723770781, 173154.77449772073 582017.0896792138, 173130.6981310817 582507.1753808616, 173154.77449772073 582997.2610825094, 173226.77172906554 583482.6269909423, 173345.99645242066 583958.5987671339, 173511.30046852527 584420.5925426871, 173721.09180933994 584864.1590649916, 173973.350069569 585285.0265459596, 174265.645864268 585679.1418016799, 174595.16422514897 586042.7092867943, 174958.73171026347 586372.2276476753, 175352.84696598368 586664.5234423743, 175773.71444695172 586916.7817026034, 176217.28096925624 587126.573043418, 176679.2747448094 587291.8770595227, 177155.24652100107 587411.1017828778, 177640.6124294339 587483.0990142226, 178130.6981310817 587507.1753808616, 178620.7838327295 587483.0990142226, 179106.14974116234 587411.1017828778, 179582.121517354 587291.8770595227, 180044.11529290717 587126.573043418, 180487.6818152117 586916.7817026034, 180908.54929617973 586664.5234423743, 181302.66455189994 586372.2276476753, 181666.23203701444 586042.7092867944, 181995.75039789538 585679.1418016799, 182288.04619259443 585285.0265459596, 182540.30445282348 584864.1590649916, 182750.09579363815 584420.5925426871, 182915.39980974275 583958.5987671339, 183034.62453309787 583482.6269909423, 183106.62176444268 582997.2610825094, 183130.6981310817 582507.1753808616))",10,POINT (178130.6981310817 582507.1753808616),POINT (178130.6981310817 582507.1753808616)
,,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((184803.35443466864 582520.9590731935, 184779.2780680296 582030.8733715457, 184707.2808366848 581545.5074631128, 184588.0561133297 581069.5356869212, 184422.75209722508 580607.541911368, 184212.9607564104 580163.9753890635, 183960.70249618136 579743.1079080955, 183668.40670148234 579348.9926523753, 183338.88834060138 578985.4251672608, 182975.32085548688 578655.9068063798, 182581.20559976666 578363.6110116808, 182160.33811879862 578111.3527514517, 181716.7715964941 577901.5614106371, 181254.77782094094 577736.2573945324, 180778.80604474928 577617.0326711773, 180293.44013631644 577545.0354398325, 179803.35443466864 577520.9590731935, 179313.26873302084 577545.0354398325, 178827.902824588 577617.0326711773, 178351.93104839633 577736.2573945324, 177889.93727284318 577901.5614106371, 177446.37075053866 578111.3527514517, 177025.50326957062 578363.6110116808, 176631.3880138504 578655.9068063798, 176267.8205287359 578985.4251672607, 175938.30216785494 579348.9926523753, 175646.00637315592 579743.1079080955, 175393.74811292687 580163.9753890635, 175183.9567721122 580607.541911368, 175018.6527560076 581069.5356869212, 174899.42803265247 581545.5074631128, 174827.43080130767 582030.8733715457, 174803.35443466864 582520.9590731935, 174827.43080130767 583011.0447748413, 174899.42803265247 583496.4106832742, 175018.6527560076 583972.3824594658, 175183.9567721122 584434.376235019, 175393.74811292687 584877.9427573235, 175646.00637315592 585298.8102382915, 175938.30216785494 585692.9254940117, 176267.8205287359 586056.4929791262, 176631.3880138504 586386.0113400072, 177025.50326957062 586678.3071347062, 177446.37075053866 586930.5653949353, 177889.93727284318 587140.3567357499, 178351.93104839633 587305.6607518545, 178827.902824588 587424.8854752097, 179313.26873302084 587496.8827065545, 179803.35443466864 587520.9590731935, 180293.44013631644 587496.8827065545, 180778.80604474928 587424.8854752097, 181254.77782094094 587305.6607518545, 181716.7715964941 587140.3567357499, 182160.33811879862 586930.5653949353, 182581.20559976666 586678.3071347062, 182975.32085548688 586386.0113400072, 183338.88834060138 586056.4929791263, 183668.4067014823 585692.9254940117, 183960.70249618136 585298.8102382915, 184212.9607564104 584877.9427573235, 184422.75209722508 584434.376235019, 184588.0561133297 583972.3824594658, 184707.2808366848 583496.4106832742, 184779.2780680296 583011.0447748413, 184803.35443466864 582520.9590731935))",10,POINT (179803.35443466864 582520.9590731935),POINT (179803.35443466864 582520.9590731935)
Juridische borging beperkingengebied,,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((184373.4974994652 582222.0026316687, 184349.42113282616 581731.9169300209, 184277.42390148135 581246.551021588, 184158.19917812623 580770.5792453964, 183992.89516202162 580308.5854698432, 183783.10382120695 579865.0189475387, 183530.8455609779 579444.1514665707, 183238.54976627888 579050.0362108505, 182909.03140539792 578686.468725736, 182545.46392028342 578356.950364855, 182151.3486645632 578064.654570156, 181730.48118359517 577812.3963099269, 181286.91466129065 577602.6049691123, 180824.9208857375 577437.3009530077, 180348.94910954582 577318.0762296525, 179863.58320111298 577246.0789983077, 179373.4974994652 577222.0026316687, 178883.4117978174 577246.0789983077, 178398.04588938455 577318.0762296525, 177922.07411319288 577437.3009530077, 177460.08033763972 577602.6049691123, 177016.5138153352 577812.3963099269, 176595.64633436716 578064.654570156, 176201.53107864695 578356.950364855, 175837.96359353245 578686.468725736, 175508.4452326515 579050.0362108505, 175216.14943795247 579444.1514665707, 174963.89117772342 579865.0189475387, 174754.09983690875 580308.5854698432, 174588.79582080414 580770.5792453964, 174469.57109744902 581246.551021588, 174397.5738661042 581731.9169300209, 174373.4974994652 582222.0026316687, 174397.5738661042 582712.0883333165, 174469.57109744902 583197.4542417494, 174588.79582080414 583673.426017941, 174754.09983690875 584135.4197934942, 174963.89117772342 584578.9863157987, 175216.14943795247 584999.8537967667, 175508.4452326515 585393.9690524869, 175837.96359353245 585757.5365376014, 176201.53107864695 586087.0548984824, 176595.64633436716 586379.3506931814, 177016.5138153352 586631.6089534105, 177460.08033763972 586841.4002942251, 177922.07411319288 587006.7043103297, 178398.04588938455 587125.9290336849, 178883.4117978174 587197.9262650297, 179373.4974994652 587222.0026316687, 179863.58320111298 587197.9262650297, 180348.94910954582 587125.9290336849, 180824.9208857375 587006.7043103297, 181286.91466129065 586841.4002942251, 181730.48118359517 586631.6089534105, 182151.3486645632 586379.3506931814, 182545.46392028342 586087.0548984824, 182909.03140539792 585757.5365376015, 183238.54976627885 585393.9690524869, 183530.8455609779 584999.8537967667, 183783.10382120695 584578.9863157987, 183992.89516202162 584135.4197934942, 184158.19917812623 583673.426017941, 184277.42390148135 583197.4542417494, 184349.42113282616 582712.0883333165, 184373.4974994652 582222.0026316687))",10,POINT (179373.4974994652 582222.0026316687),POINT (179373.4974994652 582222.0026316687)
