Omschrijvi,Naam,source,OBJECTID,UVID,BOUWWERKCO,AFSTOOTSTA,Shape_Leng,Shape_Area,EAN,Gebouwcode hoofdaansluiting,Gekoppelde aansluiting,Entity,Portefeuille,Naam Defensie,Bouwwerkfunctie,Adres,Postcode,Plaats,Contractcapaciteit,Aangevraagde Contractcapaciteit,Toekomstige contractcapaciteit,Maximaal piekvermogen,Verhoogde basislast,Vermogen laadpunten,WP vermogen,Max vermogen verbruik,Max ruimte verbruik,Oordeel verbruik,WP Zonnepanelen,Max ruimte opwek,Oordeel opwek,Projectnaam,Volgorde,Status_project,type_project_,Potentie,Planning,URL_projectpagina,RES_Regio,scope_omschrijving,Type_project_icon,Shape__Area,Shape__Length,buffer_5km,cluster_id,geometry_wkt,geometry_centroid_wkt
,B,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((185934.76059738096 582487.4441104413, 185910.68423074193 581997.3584087935, 185838.68699939712 581511.9925003606, 185719.462276042 581036.020724169, 185554.1582599374 580574.0269486158, 185344.36691912272 580130.4604263112, 185092.10865889367 579709.5929453432, 184799.81286419465 579315.477689623, 184470.2945033137 578951.9102045086, 184106.7270181992 578622.3918436276, 183712.61176247898 578330.0960489286, 183291.74428151094 578077.8377886994, 182848.17775920642 577868.0464478849, 182386.18398365326 577702.7424317802, 181910.2122074616 577583.5177084251, 181424.84629902875 577511.5204770803, 180934.76059738096 577487.4441104413, 180444.67489573316 577511.5204770803, 179959.30898730032 577583.5177084251, 179483.33721110865 577702.7424317802, 179021.3434355555 577868.0464478849, 178577.77691325097 578077.8377886994, 178156.90943228293 578330.0960489286, 177762.79417656272 578622.3918436276, 177399.22669144822 578951.9102045086, 177069.70833056726 579315.477689623, 176777.41253586824 579709.5929453432, 176525.1542756392 580130.4604263112, 176315.36293482452 580574.0269486158, 176150.0589187199 581036.020724169, 176030.8341953648 581511.9925003606, 175958.83696401998 581997.3584087935, 175934.76059738096 582487.4441104413, 175958.83696401998 582977.529812089, 176030.8341953648 583462.8957205219, 176150.0589187199 583938.8674967135, 176315.36293482452 584400.8612722667, 176525.1542756392 584844.4277945713, 176777.41253586824 585265.2952755393, 177069.70833056726 585659.4105312595, 177399.22669144822 586022.9780163739, 177762.79417656272 586352.496377255, 178156.90943228293 586644.792171954, 178577.77691325097 586897.0504321831, 179021.3434355555 587106.8417729976, 179483.33721110865 587272.1457891023, 179959.30898730032 587391.3705124574, 180444.67489573316 587463.3677438023, 180934.76059738096 587487.4441104413, 181424.84629902875 587463.3677438023, 181910.2122074616 587391.3705124574, 182386.18398365326 587272.1457891023, 182848.17775920642 587106.8417729976, 183291.74428151094 586897.0504321831, 183712.61176247898 586644.792171954, 184106.7270181992 586352.496377255, 184470.2945033137 586022.978016374, 184799.81286419462 585659.4105312595, 185092.10865889367 585265.2952755393, 185344.36691912272 584844.4277945713, 185554.1582599374 584400.8612722667, 185719.462276042 583938.8674967135, 185838.68699939712 583462.8957205219, 185910.68423074193 582977.529812089, 185934.76059738096 582487.4441104413))",10,POINT (180934.76059738096 582487.4441104413),POINT (180934.76059738096 582487.4441104413)
,A,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((183130.6981310817 582507.1753808616, 183106.62176444268 582017.0896792138, 183034.62453309787 581531.723770781, 182915.39980974275 581055.7519945893, 182750.09579363815 580593.7582190362, 182540.30445282348 580150.1916967316, 182288.04619259443 579729.3242157636, 181995.7503978954 579335.2089600434, 181666.23203701444 578971.6414749289, 181302.66455189994 578642.1231140479, 180908.54929617973 578349.8273193489, 180487.6818152117 578097.5690591198, 180044.11529290717 577887.7777183052, 179582.121517354 577722.4737022006, 179106.14974116234 577603.2489788454, 178620.7838327295 577531.2517475006, 178130.6981310817 577507.1753808616, 177640.6124294339 577531.2517475006, 177155.24652100107 577603.2489788454, 176679.2747448094 577722.4737022006, 176217.28096925624 577887.7777183052, 175773.71444695172 578097.5690591198, 175352.84696598368 578349.8273193489, 174958.73171026347 578642.1231140479, 174595.16422514897 578971.6414749289, 174265.645864268 579335.2089600434, 173973.350069569 579729.3242157636, 173721.09180933994 580150.1916967316, 173511.30046852527 580593.7582190362, 173345.99645242066 581055.7519945893, 173226.77172906554 581531.723770781, 173154.77449772073 582017.0896792138, 173130.6981310817 582507.1753808616, 173154.77449772073 582997.2610825094, 173226.77172906554 583482.6269909423, 173345.99645242066 583958.5987671339, 173511.30046852527 584420.5925426871, 173721.09180933994 584864.1590649916, 173973.350069569 585285.0265459596, 174265.645864268 585679.1418016799, 174595.16422514897 586042.7092867943, 174958.73171026347 586372.2276476753, 175352.84696598368 586664.5234423743, 175773.71444695172 586916.7817026034, 176217.28096925624 587126.573043418, 176679.2747448094 587291.8770595227, 177155.24652100107 587411.1017828778, 177640.6124294339 587483.0990142226, 178130.6981310817 587507.1753808616, 178620.7838327295 587483.0990142226, 179106.14974116234 587411.1017828778, 179582.121517354 587291.8770595227, 180044.11529290717 587126.573043418, 180487.6818152117 586916.7817026034, 180908.54929617973 586664.5234423743, 181302.66455189994 586372.2276476753, 181666.23203701444 586042.7092867944, 181995.75039789538 585679.1418016799, 182288.04619259443 585285.0265459596, 182540.30445282348 584864.1590649916, 182750.09579363815 584420.5925426871, 182915.39980974275 583958.5987671339, 183034.62453309787 583482.6269909423, 183106.62176444268 582997.2610825094, 183130.6981310817 582507.1753808616))",10,POINT (178130.6981310817 582507.1753808616),POINT (178130.6981310817 582507.1753808616)
,,Bouwwerk,9.0,8QR-WSV-H9MM-3V6,8911Z3_01,nietinafstoting,207.521288137,1093.33591288,EAN_871689700000025221,100280G01,100280G01,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"Zuidersingel, 3",8911AV,Leeuwarden,535.0,0.0,535.0,206.0,206.0,132.0,0.0,338.0,197.0,Groen,0.0,535.0,Onbekend,,,,,,,,,,,,,,10,POINT (181749.70881620114 578981.8255563175),POINT (181749.70881620114 578981.8255563175)
,,Bouwwerk,272.0,XFR-WSX-9DHK-KKC,8913VDN12_01,nietinafstoting,330.869012293,2441.98862128,EAN_871689700000023760,100367G01,100367G01;100396G01;100396G02,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"van der Nootstraat, 12",8913HV,Leeuwarden,371.0,371.0,371.0,248.0,248.0,301.0,0.0,549.0,-178.0,Rood,58.0,313.0,Groen,,,,,,,,,,,,,,10,POINT (180947.9156520237 579167.7497256101),POINT (180947.9156520237 579167.7497256101)
,,Bouwwerk,146.0,XFR-WSX-9DHK-KKC,8913VDN12_01,nietinafstoting,330.869012293,2441.98862128,EAN_871689700000023760,100367G01,100367G01;100396G01;100396G02,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"van der Nootstraat, 12",8913HV,Leeuwarden,371.0,371.0,371.0,248.0,248.0,301.0,0.0,549.0,-178.0,Rood,58.0,313.0,Groen,,,,,,,,,,,,,,10,POINT (180947.9156520237 579167.7497256101),POINT (180947.9156520237 579167.7497256101)
,,Bouwwerk,26.0,GJD-E7V-094R-A66,8913T4_01,afstootbesloten,166.660848866,469.51148898,EAN_871687110004667389,100269G01,100269G01,Rijksvastgoedbedrijf Leegstand,Rijkskantoren,onbekend,Kantoorgebouw,"Tesselschadestraat, 4",8913HB,Leeuwarden,147.0,0.0,147.0,6.0,6.0,0.0,0.0,6.0,141.0,Groen,0.0,147.0,Onbekend,,,,,,,,,,,,,,10,POINT (181679.18921961918 579204.3293000035),POINT (181679.18921961918 579204.3293000035)
,,Bouwwerk,205.0,K5V-VA2-SQNB-JKA,8911Z102_01,nietinafstoting,282.406289165,3227.59420242,EAN_871689700000027041,101626G01,101626G01;101626G02,LDCR 416 Rechtbank Noord-Nederland,RVDR,onbekend,Gerechtsgebouw,"Zaailand, 102",8911BN,Leeuwarden,388.0,0.0,388.0,329.0,329.0,92.0,0.0,421.0,-33.0,Rood,0.0,388.0,Onbekend,,,,,,,,,,,,,,10,POINT (182163.8994253309 579221.4370383418),POINT (182163.8994253309 579221.4370383418)
,,Bouwwerk,117.0,CAB-3NK-4MRV-T3P,8913T55_01,nietinafstoting,184.973572051,2216.89022748,EAN_871689700000043317,100391G01,100391G01,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"Tesselschadestraat, 55",8913HA,Leeuwarden,288.0,288.0,288.0,229.0,229.0,9.0,0.0,238.0,50.0,Oranje,66.0,222.0,Groen,,,,,,,,,,,,,,10,POINT (180955.23672818186 579239.9538733792),POINT (180955.23672818186 579239.9538733792)
,,Bouwwerk,204.0,M1F-TCP-HWWK-SJG,8911W1_01,nietinafstoting,177.63835033,1796.92705446,EAN_871687110002973185,100274G01,100274G01,LDCR 432 Gerechtshof Arnhem Leeuwarden,RVDR,onbekend,Gerechtsgebouw,"Wilhelminaplein, 1",8911BS,Leeuwarden,53.0,0.0,53.0,44.0,44.0,0.0,0.0,44.0,9.0,Oranje,36.0,17.0,Groen,,,,,,,,,,,,,,10,POINT (182043.95346333948 579317.881334742),POINT (182043.95346333948 579317.881334742)
,,Bouwwerk,71.0,1WK-8KX-82K7-0TP,8913T140_01,nietinafstoting,493.132833868,4869.20237462,EAN_871689700000027652,100332G01,100332G01,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"Tesselschadestraat, 140",8913HC,Leeuwarden,560.0,560.0,560.0,406.0,406.0,62.0,88.0,556.0,4.0,Oranje,0.0,560.0,Onbekend,,,,,,,,,,,,,,10,POINT (180985.05692042262 579355.3678930341),POINT (180985.05692042262 579355.3678930341)
Uitbreiding faciliteiten voor schieten,Logistiek centrum Maaldrift,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((94355.28106307039 463018.1473441969, 94331.20469643138 462528.0616425491, 94259.20746508654 462042.69573411625, 94139.98274173144 461566.7239579246, 93974.67872562683 461104.73018237145, 93764.88738481216 460661.1636600669, 93512.62912458312 460240.2961790989, 93220.33332988407 459846.1809233787, 92890.81496900313 459482.6134382642, 92527.24748388861 459153.0950773832, 92133.1322281684 458860.79928268417, 91712.26474720037 458608.54102245515, 91268.69822489584 458398.7496816405, 90806.7044493427 458233.44566553587, 90330.73267315103 458114.2209421808, 89845.36676471819 458042.2237108359, 89355.28106307039 458018.1473441969, 88865.1953614226 458042.2237108359, 88379.82945298975 458114.2209421808, 87903.85767679808 458233.44566553587, 87441.86390124494 458398.7496816405, 86998.2973789404 458608.54102245515, 86577.42989797238 458860.79928268417, 86183.31464225217 459153.0950773832, 85819.74715713765 459482.6134382642, 85490.2287962567 459846.1809233787, 85197.93300155766 460240.2961790989, 84945.67474132862 460661.1636600669, 84735.88340051395 461104.73018237145, 84570.57938440934 461566.7239579246, 84451.35466105424 462042.69573411625, 84379.3574297094 462528.0616425491, 84355.28106307039 463018.1473441969, 84379.3574297094 463508.2330458447, 84451.35466105424 463993.5989542776, 84570.57938440934 464469.57073046925, 84735.88340051395 464931.5645060224, 84945.67474132862 465375.1310283269, 85197.93300155766 465795.99850929494, 85490.2287962567 466190.11376501515, 85819.74715713765 466553.68125012965, 86183.31464225215 466883.1996110106, 86577.42989797238 467175.49540570966, 86998.2973789404 467427.7536659387, 87441.86390124494 467637.54500675335, 87903.85767679808 467802.84902285796, 88379.82945298974 467922.07374621305, 88865.1953614226 467994.0709775579, 89355.28106307039 468018.1473441969, 89845.36676471819 467994.0709775579, 90330.73267315103 467922.07374621305, 90806.7044493427 467802.84902285796, 91268.69822489584 467637.54500675335, 91712.26474720037 467427.7536659387, 92133.1322281684 467175.49540570966, 92527.24748388861 466883.1996110106, 92890.81496900313 466553.68125012965, 93220.33332988407 466190.11376501515, 93512.62912458312 465795.99850929494, 93764.88738481216 465375.1310283269, 93974.67872562683 464931.5645060224, 94139.98274173144 464469.57073046925, 94259.20746508654 463993.5989542776, 94331.20469643138 463508.2330458447, 94355.28106307039 463018.1473441969))",17,POINT (89355.28106307039 463018.1473441969),POINT (89355.28106307039 463018.1473441969)
Uitbreiding gebruik van het complex,Mobilisatiecomplex Maaldrift,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((94355.28106307039 463018.1473441969, 94331.20469643138 462528.0616425491, 94259.20746508654 462042.69573411625, 94139.98274173144 461566.7239579246, 93974.67872562683 461104.73018237145, 93764.88738481216 460661.1636600669, 93512.62912458312 460240.2961790989, 93220.33332988407 459846.1809233787, 92890.81496900313 459482.6134382642, 92527.24748388861 459153.0950773832, 92133.1322281684 458860.79928268417, 91712.26474720037 458608.54102245515, 91268.69822489584 458398.7496816405, 90806.7044493427 458233.44566553587, 90330.73267315103 458114.2209421808, 89845.36676471819 458042.2237108359, 89355.28106307039 458018.1473441969, 88865.1953614226 458042.2237108359, 88379.82945298975 458114.2209421808, 87903.85767679808 458233.44566553587, 87441.86390124494 458398.7496816405, 86998.2973789404 458608.54102245515, 86577.42989797238 458860.79928268417, 86183.31464225217 459153.0950773832, 85819.74715713765 459482.6134382642, 85490.2287962567 459846.1809233787, 85197.93300155766 460240.2961790989, 84945.67474132862 460661.1636600669, 84735.88340051395 461104.73018237145, 84570.57938440934 461566.7239579246, 84451.35466105424 462042.69573411625, 84379.3574297094 462528.0616425491, 84355.28106307039 463018.1473441969, 84379.3574297094 463508.2330458447, 84451.35466105424 463993.5989542776, 84570.57938440934 464469.57073046925, 84735.88340051395 464931.5645060224, 84945.67474132862 465375.1310283269, 85197.93300155766 465795.99850929494, 85490.2287962567 466190.11376501515, 85819.74715713765 466553.68125012965, 86183.31464225215 466883.1996110106, 86577.42989797238 467175.49540570966, 86998.2973789404 467427.7536659387, 87441.86390124494 467637.54500675335, 87903.85767679808 467802.84902285796, 88379.82945298974 467922.07374621305, 88865.1953614226 467994.0709775579, 89355.28106307039 468018.1473441969, 89845.36676471819 467994.0709775579, 90330.73267315103 467922.07374621305, 90806.7044493427 467802.84902285796, 91268.69822489584 467637.54500675335, 91712.26474720037 467427.7536659387, 92133.1322281684 467175.49540570966, 92527.24748388861 466883.1996110106, 92890.81496900313 466553.68125012965, 93220.33332988407 466190.11376501515, 93512.62912458312 465795.99850929494, 93764.88738481216 465375.1310283269, 93974.67872562683 464931.5645060224, 94139.98274173144 464469.57073046925, 94259.20746508654 463993.5989542776, 94331.20469643138 463508.2330458447, 94355.28106307039 463018.1473441969))",17,POINT (89355.28106307039 463018.1473441969),POINT (89355.28106307039 463018.1473441969)
,,Bouwwerk,149.0,19X-79N-W6AJ-TKD,2311WS1_01,nietinafstoting,90.6825649884,264.52144398,EAN_871690930000839047,100827G01,100827G01,Dienst Justitiële Inrichtingen Elektriciteit,DJI,onbekend,Gerechtsgebouw,"Witte Singel, 1",2311BG,Leiden,125.0,0.0,125.0,46.0,46.0,25.0,0.0,71.0,54.0,Groen,0.0,125.0,Onbekend,,,,,,,,,,,,,,17,POINT (92948.53985246469 463870.9692453951),POINT (92948.53985246469 463870.9692453951)
,,Bouwwerk,230.0,C4Z-QJ4-EX75-80Q,2236M336_829,afstootbesloten,130.355148225,731.571994022,EAN_871690910000003044,111339G46,111339G46,Rijksvastgoedbedrijf Verkoop Ontwikkeling,Bijz. specialties,onbekend,Bedrijfsruimte,"Wassenaarseweg, 75, G",2223LA,Katwijk,430.0,0.0,430.0,314.0,314.0,0.0,1201.0,1515.0,-1085.0,Rood,0.0,430.0,Onbekend,,,,,,,,,,,,,,17,POINT (87850.18476801668 465917.6403043747),POINT (87850.18476801668 465917.6403043747)
Huisvesting incl faciliteiten,Oude politieacademie,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((196373.72089055926 467526.9475763081, 196349.64452392023 467036.8618746603, 196277.64729257542 466551.49596622743, 196158.4225692203 466075.52419003577, 195993.1185531157 465613.53041448264, 195783.32721230102 465169.9638921781, 195531.06895207198 464749.0964112101, 195238.77315737295 464354.98115548986, 194909.254796492 463991.41367037536, 194545.6873113775 463661.8953094944, 194151.57205565728 463369.59951479535, 193730.70457468924 463117.34125456633, 193287.13805238472 462907.54991375166, 192825.14427683156 462742.24589764705, 192349.1725006399 462623.02117429196, 191863.80659220705 462551.0239429471, 191373.72089055926 462526.9475763081, 190883.63518891146 462551.0239429471, 190398.26928047862 462623.02117429196, 189922.29750428695 462742.24589764705, 189460.3037287338 462907.54991375166, 189016.73720642927 463117.34125456633, 188595.86972546123 463369.59951479535, 188201.75446974102 463661.8953094944, 187838.18698462652 463991.41367037536, 187508.66862374556 464354.98115548986, 187216.37282904654 464749.0964112101, 186964.1145688175 465169.9638921781, 186754.32322800282 465613.53041448264, 186589.0192118982 466075.52419003577, 186469.7944885431 466551.49596622743, 186397.79725719828 467036.8618746603, 186373.72089055926 467526.9475763081, 186397.79725719828 468017.0332779559, 186469.7944885431 468502.39918638876, 186589.0192118982 468978.37096258043, 186754.32322800282 469440.36473813356, 186964.1145688175 469883.9312604381, 187216.37282904654 470304.7987414061, 187508.66862374556 470698.91399712634, 187838.18698462652 471062.48148224084, 188201.75446974102 471391.9998431218, 188595.86972546123 471684.29563782085, 189016.73720642927 471936.55389804987, 189460.3037287338 472146.34523886454, 189922.29750428695 472311.64925496915, 190398.26928047862 472430.87397832423, 190883.63518891146 472502.8712096691, 191373.72089055926 472526.9475763081, 191863.80659220705 472502.8712096691, 192349.1725006399 472430.87397832423, 192825.14427683156 472311.64925496915, 193287.13805238472 472146.34523886454, 193730.70457468924 471936.55389804987, 194151.57205565728 471684.29563782085, 194545.6873113775 471391.9998431218, 194909.254796492 471062.48148224084, 195238.77315737293 470698.91399712634, 195531.06895207198 470304.7987414061, 195783.32721230102 469883.9312604381, 195993.1185531157 469440.36473813356, 196158.4225692203 468978.37096258043, 196277.64729257542 468502.39918638876, 196349.64452392023 468017.0332779559, 196373.72089055926 467526.9475763081))",18,POINT (191373.72089055926 467526.9475763081),POINT (191373.72089055926 467526.9475763081)
,,Bouwwerk,65.0,WGE-5H9-SKKR-DQX,7333M32_01,nietinafstoting,305.594751246,5525.7251936,EAN_871687120000033002,100445G01,100445G01,Belastingdienst,Bijz. specialties,onbekend,Archiefgebouw,"Marowijne, 32",7333PJ,Apeldoorn,136.0,0.0,136.0,72.0,72.0,18.0,0.0,90.0,46.0,Groen,0.0,136.0,Onbekend,,,,,,,,,,,,,,18,POINT (194979.36024143794 465596.0411266294),POINT (194979.36024143794 465596.0411266294)
,,Bouwwerk,4.0,T10-8K4-S2KB-5F3,7334LVW490_02,nietinafstoting,244.542107672,1363.90609289,EAN_871687110001854256,100023G02,100023G02;100023G01;100023G05;100023G06;100023G07;100023G08;100023G09;100023G10;100023G11;100023G12;100023G13,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"Laan van Westenenk, 492",7334DS,Apeldoorn,2551.0,4000.0,2551.0,2683.0,2683.0,123.0,0.0,2806.0,-255.0,Rood,625.0,1926.0,Groen,,,,,,,,,,,,,,18,POINT (194223.8031035812 465682.23019005463),POINT (194223.8031035812 465682.23019005463)
,,Bouwwerk,7.0,X7F-RJP-7HMP-N21,7311S50_01,nietinafstoting,343.423731014,3208.03125393,EAN_871687120000088682,100477G01,100477G01,Rijksvastgoedbedrijf Verkoop Sectie II,Rijkskantoren,onbekend,Kantoorgebouw,"Stationsplein, 50",7311NZ,Apeldoorn,332.0,0.0,332.0,505.0,505.0,240.0,0.0,745.0,-413.0,Rood,0.0,332.0,Onbekend,,,,,,,,,,,,,,18,POINT (194862.90083579277 469284.16289751703),POINT (194862.90083579277 469284.16289751703)
,,Bouwwerk,62.0,SND-JPY-499R-C3G,7314JK8_07,nietinafstoting,147.330339171,1149.16005997,EAN_871687110001854676,100021G07,100021G07;100021G02;100021G04;100021G05;100021G06;100021G08;100021G09;100021G10;100021G12;100021G13;100021G14,Rijkskantoren,Rijkskantoren,onbekend,Kantoorgebouw,"John F. Kennedylaan, 8",7314PS,Apeldoorn,2836.0,4000.0,2836.0,2458.0,2458.0,97.0,1219.0,3773.0,-937.0,Rood,174.0,2662.0,Groen,,,,,,,,,,,,,,18,POINT (192440.11724559419 469507.3283205621),POINT (192440.11724559419 469507.3283205621)
,,Bouwwerk,101.0,B5K-B91-1B2A-NT8,7311S104_01,nietinafstoting,75.1395256444,333.279329491,EAN_871687120000750374,100475G01,100475G01,LDCR 421 Rechtbank Gelderland,RVDR,onbekend,Gerechtsgebouw,"Stationsstraat, 104",7311MJ,Apeldoorn,19.0,0.0,19.0,13.0,13.0,5.0,0.0,18.0,1.0,Oranje,0.0,19.0,Onbekend,,,,,,,,,,,,,,18,POINT (194646.50238305164 469632.39263527095),POINT (194646.50238305164 469632.39263527095)
